PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,1201,Vale do Juruá,1005021.39663211,1005897.52421889,1014540.71374511,1092503.25626201,1116065.68991699,1268092.3468029,1395713.47797086,1496288.46555149,1616720.256,1521408.17771233,1562338.01001789,1719504.77036509,1870680.27861863,1685723.89535257,1734594.28213263,1759701.22460287,1772016.97230188,1728227.36846951,1737443.0098518,2081752.75950113,
AC,1202,Vale do Acre,4639695.68617783,4617583.14251087,4832954.29619686,5093570.14669209,5164164.57347287,5640150.11742108,6062801.20495522,6535518.79971693,6725635.267,6740731.84338467,7108300.08722843,7408740.40411742,8057536.01855059,7656685.7524005,6990876.96063113,6974170.42287447,7205949.37313326,7053797.03102117,6957351.57980066,8045352.25718356,
AL,2701,Sertão Alagoano,1688698.89365184,1420907.42744262,1617420.81268624,1711094.54068832,1787765.25423086,1895814.09083343,1957305.21370956,1873822.85681281,1893456.908,2084575.07409119,2194443.26509017,2242885.96069005,2222112.28021133,2259318.15809917,2184027.16440894,2236623.56620719,2232278.23095833,2333596.95349005,2415121.36273565,2543769.27126049,
AL,2702,Agreste Alagoano,2988073.96957196,2668308.80754047,2726389.34592066,2851962.88017038,3011153.15379946,3284011.13073005,3471642.22593506,3652448.14033747,3827720.947,3971467.01123075,4569477.37731725,4594413.25254539,4765856.8946092,5210777.81327646,4898770.37471303,5117695.55317264,5259699.42268456,5676494.57083499,5901911.53005434,6253577.62114112,
AL,2703,Leste Alagoano,17240314.8113873,16931235.590616,17360066.8093486,17710300.5803325,18635947.1395139,19970631.4929408,20473869.129624,20693080.8457144,21411860.005,23170076.9839209,22871440.155968,22823336.8222585,23238477.2860475,24328170.0619285,24299385.4755425,24986211.316747,24372518.4283434,25119807.3372745,25035662.5598634,27336930.5658014,
AM,1301,Norte Amazonense,328010.641407422,329017.223973357,342594.325104082,350902.357586396,380063.086912524,409067.082842599,449804.457952034,470952.934897849,493112.195,538009.164504952,516916.098818665,553740.366413988,602520.894591136,598772.824252664,568568.238249574,578695.358686873,566601.660484392,600316.134189649,595643.271610813,617379.561047788,
AM,1302,Sudoeste Amazonense,1183021.22222187,1128364.66297208,1112310.75914317,1147695.25198466,1273660.86577043,1211351.7721542,1263630.61481823,1318052.89878857,1482611.681,1692188.70136084,1747445.35749178,1957346.69376398,2006958.9090689,1940329.69046078,1896084.47569711,1959420.93404173,2053067.03386927,2098369.32426431,2114947.1828187,2140794.11660192,
AM,1303,Centro Amazonense,39523815.9603602,40712878.0049137,45676033.2193801,46389879.4974475,50917620.0927944,52211227.5393129,53042224.833243,51787398.1229752,57525612.445,61393000.8854433,57842010.2058505,61762078.9348872,59449999.3967165,54995543.3777197,52227088.2445278,52571912.489483,54079177.6643517,56117785.9840755,56501263.0119932,57556148.1017162,
AM,1304,Sul Amazonense,936877.976891588,893146.523237618,914136.965495279,990542.55541765,1225343.16897696,1199379.60618293,1227826.83139885,1242262.07737779,1375786.363,1678980.47116976,1680466.46856158,1799400.72929524,1874273.17198194,1833129.65768981,1793681.60701115,1945343.75503534,1925512.54435737,1967143.66844294,2012942.91766842,2004439.87279549,
AP,1601,Norte do Amapá,303495.738550359,300548.600185372,331412.118864816,361010.934037183,390635.352060587,465618.93603204,497532.658459835,516840.764399044,493286,529451.695459125,573709.673976634,650597.53708163,585027.99065315,545926.190248372,561166.19437542,595614.285978659,597116.309660012,610301.11025323,607041.870266991,577785.665044866,
AP,1602,Sul do Amapá,5725048.64460357,5382811.07468697,5579034.88406017,5833446.85869061,6723511.18304196,7144248.31620702,7589471.77165009,7604778.05266584,7744509.351,8157171.57784922,8946160.44025239,9503571.94045923,9300097.41913193,8960039.0220014,8537256.35818031,8878048.1506032,9238222.78293468,9220532.90373456,9139347.32522402,8945425.09133585,
BA,2901,Extremo Oeste Baiano,6179244.3070591,7018812.80276995,8887933.07486676,7602538.90078386,6659216.39035763,8330178.56181387,9308099.14550502,8798591.94304046,7766683.207,9433740.44998395,11345783.0346142,10477641.4204341,11382294.5159203,11783858.4069516,9196412.63461046,10897236.9744554,13900309.8894372,11824855.2534722,15744499.0933616,17268848.4149422,
BA,2902,Vale São-Franciscano da Bahia,6368049.38325254,6082138.78429968,5868769.25476392,5591458.52919388,6021635.60323232,6915918.58820147,7352215.59387533,6438226.68269413,7172320.835,6933720.78066489,7425393.24524837,6630217.83032369,7027069.29948851,7441059.71966533,7402112.49104191,8031294.0539431,8744204.38618563,9164189.79250256,9098483.87675452,9094004.19450806,
