População  residente -  total
Sigla,Código,Meso-região,1991,1996,2000,2007,2010,
AC,1201,Vale do Juruá,122248,137390,157978,190910,206084,
AC,1202,Vale do Acre,295470,346203,399904,464475,527475,
AL,2701,Sertão Alagoano,372901,382988,413808,425843,432667,
AL,2702,Agreste Alagoano,537179,547998,581860,605126,623302,
AL,2703,Leste Alagoano,1604020,1702265,1832188,2006134,2064525,
AM,1301,Norte Amazonense,86235,90065,101720,118035,121337,
AM,1302,Sudoeste Amazonense,222459,269029,313169,331522,351939,
AM,1303,Centro Amazonense,1570685,1822862,2167589,2506783,2726732,
AM,1304,Sul Amazonense,223864,207323,234775,265599,283977,
AP,1601,Norte do Amapá,25500,28232,36144,51077,53934,
AP,1602,Sul do Amapá,263897,351227,440888,536234,615592,
BA,2901,Extremo Oeste Baiano,450221,473057,496048,553758,579253,
BA,2902,Vale São-Franciscano da Bahia,769963,829486,877034,978414,964405,
BA,2903,Centro Norte Baiano,2018116,2092343,2081821,2224075,2226300,
BA,2904,Nordeste Baiano,1372965,1382233,1465232,1514079,1545922,
BA,2905,Metropolitana de Salvador,3134886,3374566,3717384,4322393,4210499,
BA,2906,Centro Sul Baiano,2264255,2459178,2477798,2480647,2478787,
BA,2907,Sul Baiano,1857585,1930812,1970451,2007288,2011740,
CE,2301,Noroeste Cearense,1029159,1085004,1178307,1275910,1326771,
CE,2302,Norte Cearense,750397,792235,876470,957529,1006582,
CE,2303,Metropolitana de Fortaleza,2357100,2645278,2930374,3376883,3468137,
CE,2304,Sertões Cearenses,776629,775228,814125,854035,869778,
CE,2305,Jaguaribe,428889,453382,484830,515830,528274,
CE,2306,Centro-Sul Cearense,337282,336481,357623,366713,376239,
CE,2307,Sul Cearense,687191,721682,789868,838386,876600,
DF,5301,Distrito Federal,1601094,1821946,2051146,2455903,2570160,
ES,3201,Noroeste Espírito-santense,358415,362841,387205,392015,413065,
ES,3202,Litoral Norte Espírito-santense,405986,436088,459500,497320,548850,
ES,3203,Central Espírito-santense,1380161,1524240,1719008,1907522,1987103,
ES,3204,Sul Espírito-santense,456056,479538,531784,554812,565934,
GO,5201,Noroeste Goiano,216445,216430,219901,216528,220541,
GO,5202,Norte Goiano,290182,283535,282521,281061,294110,
